IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	262144,	Conv1,	2.383293129063693,	0.013802578398325799,	6.298576609102673,	10.851909835934629,	6.298576609102673,
524288,	524288,	262144,	Conv2,	2.667056462865268,	0.0019135449749511648,	0.0803954659614899,	24.60438122068223,	0.0803954659614899,
524288,	524288,	262144,	Conv3,	4.333081456853559,	0.022107558453334484,	8.666162913707119,	17.603478054362142,	8.666162913707119,
